source,mdr_report_key,event_type,date_received,report_source_code,manufacturer_name,generic_name,device_class
openFDA Device Event API,10007521,Malfunction,20200428,Manufacturer report,BARD ACCESS SYSTEMS,"SYSTEM, IMAGING, PULSED ECHO, ULTRASONIC",
openFDA Device Event API,10007553,Malfunction,20200428,Manufacturer report,"MEDTRONIC NAVIGATION, INC (LITTLETON)",INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,10007651,Malfunction,20200428,Manufacturer report,"MEDTRONIC NAVIGATION, INC (LITTLETON)",INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,1000849,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000851,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000854,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000855,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000858,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000860,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000861,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000862,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000863,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000864,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000865,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000866,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000867,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000868,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000869,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000870,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000871,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000872,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000874,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,10008748,Malfunction,20200429,Manufacturer report,"MEDTRONIC NAVIGATION, INC (LITTLETON)",INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,1000876,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,10009000,Malfunction,20200429,Manufacturer report,BARD ACCESS SYSTEMS,"SYSTEM, IMAGING, PULSED ECHO, ULTRASONIC",
openFDA Device Event API,10009002,Malfunction,20200429,User Facility report,PHILIPS HEALTHCARE,"SYSTEM, X-RAY, ANGIOGRAPHIC",
openFDA Device Event API,10009040,Malfunction,20200429,Manufacturer report,BARD ACCESS SYSTEMS,"SYSTEM, IMAGING, PULSED ECHO, ULTRASONIC",
