source,npi,entity_type,organization_name,first_name,last_name,taxonomy,city,state,postal_code
NPPES API,1861173809,NPI-1,,HEBA,AL QUDAH,"Radiology, Diagnostic Radiology",HOUSTON,TX,770304000
NPPES API,1710500269,NPI-1,,ALAHA,AL TAWEEL,,GALVESTON,TX,775555302
NPPES API,1336323492,NPI-1,,HASSAN,AL-BALAS,"Radiology, Diagnostic Radiology",HOUSTON,TX,770304107
NPPES API,1821175621,NPI-1,,MAHDI,AL-BASSAM,"Radiology, Diagnostic Radiology",HOUSTON,TX,770744302
NPPES API,1811341563,NPI-1,,SAMY,AL-BAYATI,"Radiology, Diagnostic Radiology",SAN ANTONIO,TX,782294402
NPPES API,1255344636,NPI-1,,GHASSAN,AL-HAMMAMI,"Radiology, Diagnostic Radiology",EDINBURG,TX,785395070
NPPES API,1295815165,NPI-1,,MAHMOUD,AL-HAWARY,"Radiology, Diagnostic Radiology",HOUSTON,TX,770304000
NPPES API,1265095673,NPI-1,,ESRAA,AL-JABBARI,"Radiology, Diagnostic Radiology",HOUSTON,TX,770304000
NPPES API,1205173887,NPI-1,,BASSAM,AL-MAMOORI,"Radiology, Diagnostic Radiology",BETHLEHEM,PA,180151000
NPPES API,1861951964,NPI-1,,ABDULLAH,AL-ZAGHAL,"Radiology, Diagnostic Radiology",FORT WORTH,TX,761042294
NPPES API,1376216994,NPI-1,,MOHAMMED,ALABDULKAREEM,,DALLAS,TX,753900709
NPPES API,1669616421,NPI-1,,JAMES,ALALY,"Radiology, Diagnostic Radiology",SAN ANGELO,TX,769035919
NPPES API,1710416003,NPI-1,,MOHAMMED,ALAM,"Radiology, Vascular & Interventional Radiology",FORT WORTH,TX,761042224
NPPES API,1174642839,NPI-1,,TARIQ,ALAM,"Radiology, Diagnostic Radiology",AUSTIN,TX,787276431
NPPES API,1891977328,NPI-2,"ALAN A SLOMOWITZ, MD, PA",,,,MCKINNEY,TX,750691766
NPPES API,1528370319,NPI-1,,SINDHURA,ALAPATI,"Radiology, Diagnostic Radiology",KERRVILLE,TX,780286024
NPPES API,1598349094,NPI-1,,HAMED,ALATTAR,"Radiology, Vascular & Interventional Radiology",DALLAS,TX,752357709
NPPES API,1922440247,NPI-1,,YOUNIS,ALAZZAWI,"Radiology, Diagnostic Radiology",HARLINGEN,TX,78550
NPPES API,1053370023,NPI-1,,JOSE,ALBA,"Radiology, Diagnostic Radiology",SHREVEPORT,LA,711033908
NPPES API,1003166109,NPI-1,,JEFFREY,ALBERT,,LAKEWOOD,CO,802281724
NPPES API,1093775850,NPI-1,,JORGE,ALBIN,"Radiology, Diagnostic Radiology",HOUSTON,TX,770984509
NPPES API,1710041033,NPI-1,,DANIEL,ALBRACHT,Chiropractor,MCALLEN,TX,78501
NPPES API,1447249073,NPI-1,,LUIS,ALBUERNE,"Radiology, Diagnostic Radiology",BAYTOWN,TX,775212122
NPPES API,1457338329,NPI-1,,KEVIN,ALBUQUERQUE,,DALLAS,TX,753907201
NPPES API,1336148741,NPI-1,,MIGUEL,ALDAY,"Radiology, Diagnostic Radiology",FORT WORTH,TX,761324576
NPPES API,1306322979,NPI-1,,MOHAMMED,ALDEHAIM,,HOUSTON,TX,770304000
NPPES API,1316113251,NPI-1,,YAZAN,ALDERAZI,"Psychiatry & Neurology, Vascular Neurology",WEBSTER,TX,775984233
NPPES API,1972823599,NPI-1,,BOOTH,ALDRED,,AUSTIN,TX,787276431
NPPES API,1861478794,NPI-1,,MILISSA,ALDRIDGE,"Radiology, Pediatric Radiology",SAN ANTONIO,TX,782294404
NPPES API,1174836233,NPI-2,"ALEJANDRO N BUGNONE MD, P.A.",,,"Radiology, Diagnostic Radiology",HOUSTON,TX,770344908
NPPES API,1588645634,NPI-1,,JAMILE,ALEXANDER,"Radiology, Diagnostic Radiology",HOUSTON,TX,770242187
NPPES API,1194785022,NPI-1,,JOHN,ALEXANDER,"Radiology, Diagnostic Radiology",SAN ANGELO,TX,769039314
NPPES API,1114289741,NPI-1,,RYAN,ALEXANDER,"Radiology, Diagnostic Radiology",FORT WORTH,TX,761042224
NPPES API,1962885749,NPI-1,,RAYA,ALHALAWANI,"Radiology, Vascular & Interventional Radiology",FALL RIVER,MA,027211733
NPPES API,1114607975,NPI-1,,ABDULRAHMAN,ALHARBI,"Radiology, Diagnostic Radiology",GALVESTON,TX,775555302
NPPES API,1972965341,NPI-1,,SARAH,ALI,"Radiology, Diagnostic Radiology",DALLAS,TX,753907101
NPPES API,1811156391,NPI-1,,SHAHID,ALI,"Radiology, Diagnostic Radiology",NORMAL,IL,617613592
NPPES API,1033772439,NPI-1,,SHARIQ,ALI,"Radiology, Diagnostic Radiology",DALLAS,TX,753909159
NPPES API,1255759437,NPI-1,,ALI,ALIAN,"Radiology, Diagnostic Radiology",FORT WORTH,TX,761042224
NPPES API,1720442890,NPI-1,,TONY,ALIAS,"Radiology, Diagnostic Radiology",FORT WORTH,TX,761042224
NPPES API,1790747921,NPI-1,,MIR,ALIKHAN,"Radiology, Diagnostic Radiology",BRYAN,TX,778022517
NPPES API,1376884221,NPI-2,ALINEA IMAGING ASSOCIATES INC,,,"Clinic/Center, Radiology, Mobile Mammography",POMONA,CA,917672139
NPPES API,1184252553,NPI-1,,MAUREEN,ALIRU,,KINGWOOD,TX,773394412
NPPES API,1578378832,NPI-2,ALL IN ONE IMAGING CENTER LLC,,,"Radiology, Diagnostic Radiology",PHARR,TX,785776043
NPPES API,1710660907,NPI-1,,MERVAT,ALLAM,"Radiology, Diagnostic Radiology",HOUSTON,TX,770301501
NPPES API,1033250196,NPI-2,ALLAN W CASS MD PA,,,,BROWNWOOD,TX,768018520
NPPES API,1578348397,NPI-2,ALLELE HEALTHCARE INC,,,Family Medicine,LEWISVILLE,TX,750565880
NPPES API,1104815174,NPI-1,,ANTHONY,ALLEN,"Radiology, Vascular & Interventional Radiology",FORT SAM HOUSTON,TX,782344501
NPPES API,1063467256,NPI-1,,GARY,ALLEN,"Radiology, Vascular & Interventional Radiology",LITTLE ROCK,AR,722115262
NPPES API,1245945534,NPI-1,,KARLUS,ALLEN,Chiropractor,HOUSTON,TX,770041136
NPPES API,1881675585,NPI-1,,ROBERT,ALLEN,"Radiology, Diagnostic Radiology",CYPRESS,TX,774293373
NPPES API,1881642361,NPI-1,,TERRI,ALLEN,"Radiology, Diagnostic Radiology",FORT WORTH,TX,761044102
NPPES API,1215153531,NPI-1,,ADAM,ALLI,"Radiology, Vascular & Interventional Radiology",HOUSTON,TX,77040
NPPES API,1649018011,NPI-2,ALLIANCE DIAGNOSTIC IMAGING LLC,,,"Radiology, Diagnostic Radiology",FORT WORTH,TX,761778631
NPPES API,1942567631,NPI-2,"ALLIANCE INJURY CLINIC, LLC",,,Chiropractor,EL PASO,TX,799367963
NPPES API,1942839527,NPI-2,ALLIANCE MRI MONTGOMERY COUNTY,,,"Radiology, Diagnostic Radiology",WILLIS,TX,773184937
NPPES API,1053940494,NPI-2,ALLIANCE MRI WOODFOREST,,,"Clinic/Center, Magnetic Resonance Imaging (MRI)",MONTGOMERY,TX,77316
NPPES API,1700209723,NPI-2,"ALLIANCE RADIOLOGY, PLLC",,,"Radiology, Diagnostic Radiology",HOUSTON,TX,770047452
NPPES API,1780624254,NPI-1,,SCOTT,ALLISON,"Radiology, Diagnostic Radiology",EDINA,MN,554357915
NPPES API,1164498135,NPI-1,,ANDREA,ALLRED-CROUCH,"Radiology, Diagnostic Radiology",SAN ANTONIO,TX,782295900
NPPES API,1245005453,NPI-2,"ALLY VASCULAR AND PAIN CENTERS, PLLC",,,"Radiology, Vascular & Interventional Radiology",SAN ANTONIO,TX,782212456
NPPES API,1164273827,NPI-1,,JOEY,ALMAGUER,"Radiology, Vascular & Interventional Radiology",SAN ANTONIO,TX,782293901
NPPES API,1649421447,NPI-1,,RAJAA,ALMESTADY,"Radiology, Diagnostic Radiology",KENT,OH,44240
NPPES API,1336464387,NPI-1,,CASEY,ALMONTE,"Radiology, Vascular & Interventional Radiology",EDINA,MN,554357915
NPPES API,1174532832,NPI-1,,MOHAMMAD,ALOBAIDI,"Radiology, Diagnostic Radiology",CYPRESS,TX,774293373
NPPES API,1851499792,NPI-2,"ALPINE DIAGNOSTIC IMAGING, PA",,,"Radiology, Diagnostic Radiology",ALPINE,TX,798302002
NPPES API,1922720481,NPI-1,,REEMA,ALRASHEED,Student in an Organized Health Care Education/Training Program,HOUSTON,TX,770301503
NPPES API,1922099332,NPI-1,,NAZAR,ALSAFFAR,"Radiology, Diagnostic Radiology",STOCKTON,CA,952032405
NPPES API,1053750075,NPI-1,,LAMYA,ALSARRAF,,HOUSTON,TX,77030
NPPES API,1760672919,NPI-1,,WILSON,ALTMEYER,,SAN ANTONIO,TX,782294402
NPPES API,1336117662,NPI-1,,STEVEN,ALTSHULER,"Radiology, Diagnostic Radiology",KAUFMAN,TX,751421861
NPPES API,1083086904,NPI-2,"ALTUS WOMEN'S CENTER OF BAYTOWN, L.P.",,,"Radiology, Diagnostic Radiology",BAYTOWN,TX,775212271
NPPES API,1457846081,NPI-1,,TITILOPE,ALUKO,"Radiology, Vascular & Interventional Radiology",HOUSTON,TX,770302604
